epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.05,0.59001,3.26683,1.10543,0.0046,0.58333,0.10523,0.06074,0.39798,4.10291,0.9679,0.00018,0.00018,0.00018
2,537.109,0.41095,3.03914,1.01247,0.04129,0.91667,0.15509,0.08772,0.74941,4.21711,1.31712,0.000367558,0.000367558,0.000367558
3,793.856,0.46689,2.7871,1.02285,0.01687,1,0.17896,0.09575,0.70768,4.14619,1.33525,0.000552608,0.000552608,0.000552608
4,1054.04,0.51886,2.55651,1.05699,0.00718,1,0.26314,0.17897,0.57614,3.97186,1.10472,0.00073515,0.00073515,0.00073515
5,1306.99,0.53412,2.3477,1.05524,0.00431,1,0.20406,0.12165,0.70922,3.9881,1.26268,0.000915184,0.000915184,0.000915184
6,1559.38,0.503,2.12355,1.02992,0.19527,0.37778,0.28153,0.16521,0.71964,3.6753,1.41702,0.000967,0.000967,0.000967
7,1806.68,0.51117,2.04268,1.03374,0.31486,0.38298,0.34649,0.25443,0.6996,3.44705,1.31797,0.0009604,0.0009604,0.0009604
8,2061.38,0.48528,1.9418,1.01982,0.42554,0.63491,0.5326,0.4226,0.70272,3.08301,1.40391,0.0009538,0.0009538,0.0009538
9,2302.58,0.47478,1.85733,1.00665,0.39111,0.53152,0.35087,0.19921,0.83268,3.28439,1.58449,0.0009472,0.0009472,0.0009472
10,2549.12,0.46194,1.85601,0.99774,0.40288,0.51903,0.42332,0.2681,0.68807,3.17299,1.32645,0.0009406,0.0009406,0.0009406
11,2785.55,0.45529,1.77966,0.98347,0.26454,0.78611,0.4665,0.36966,0.68378,2.7717,1.32116,0.000934,0.000934,0.000934
12,2977.13,0.46631,1.79212,1.0018,0.25599,0.36486,0.29895,0.20229,1.018,3.27399,1.66682,0.0009274,0.0009274,0.0009274
13,3183.12,0.45381,1.72995,0.99436,0.40367,0.75771,0.54109,0.36469,1.06119,2.98764,1.46163,0.0009208,0.0009208,0.0009208
14,3392.85,0.44408,1.69271,0.98194,0.34319,0.54054,0.53099,0.44045,0.71857,2.54468,1.24067,0.0009142,0.0009142,0.0009142
15,3596.74,0.44423,1.67125,0.97906,0.55562,0.53407,0.52861,0.4066,0.9042,2.74667,1.44798,0.0009076,0.0009076,0.0009076
16,3794.7,0.43506,1.63771,0.99093,0.55082,0.42034,0.3981,0.22195,0.82326,3.4393,1.28008,0.000901,0.000901,0.000901
17,3997.38,0.43818,1.62534,0.96795,0.32316,0.6407,0.47243,0.32511,0.91089,3.30038,1.4196,0.0008944,0.0008944,0.0008944
18,4200.8,0.42074,1.56957,0.96867,0.21734,0.69085,0.4093,0.34146,0.7042,2.51471,1.24584,0.0008878,0.0008878,0.0008878
19,4403.34,0.4352,1.57303,0.98461,0.38662,0.41273,0.44222,0.34979,0.65554,2.5713,1.22548,0.0008812,0.0008812,0.0008812
20,4614.74,0.4173,1.5619,0.98276,0.33298,0.57172,0.50146,0.38864,0.67105,2.52892,1.30738,0.0008746,0.0008746,0.0008746
21,4816.48,0.39728,1.5139,0.95887,0.47773,0.65556,0.54685,0.45483,0.69509,2.30884,1.26304,0.000868,0.000868,0.000868
22,5014.54,0.39737,1.52737,0.96846,0.33103,0.68026,0.53378,0.4461,0.68499,2.38194,1.2746,0.0008614,0.0008614,0.0008614
23,5218.86,0.393,1.46279,0.95304,0.52869,0.49282,0.64038,0.56022,0.61762,2.18712,1.21097,0.0008548,0.0008548,0.0008548
24,5414.99,0.39453,1.46458,0.96645,0.51846,0.525,0.53808,0.42825,0.71131,2.48507,1.08818,0.0008482,0.0008482,0.0008482
25,5615.64,0.39271,1.44794,0.95719,0.32405,0.5656,0.51678,0.40142,0.66658,2.69689,1.11248,0.0008416,0.0008416,0.0008416
26,5824.9,0.39265,1.44226,0.96199,0.5971,0.75087,0.71857,0.59368,0.52581,1.94173,1.0405,0.000835,0.000835,0.000835
27,6028.44,0.39138,1.43189,0.96423,0.50442,0.74444,0.65202,0.52981,0.62618,1.99028,1.11219,0.0008284,0.0008284,0.0008284
28,6235.47,0.38909,1.39829,0.95574,0.53086,0.62778,0.65722,0.55834,0.63954,1.976,1.13541,0.0008218,0.0008218,0.0008218
